13:15:21,41.5826,2.0397,1000,-30
13:15:22,41.5826,2.0407,1000,-29
13:15:23,41.5826,2.0417,1000,-28
13:15:24,41.5826,2.0427,1000,-27
13:15:25,41.5826,2.0437,1000,-26
13:15:26,41.5826,2.0447,1000,-25
13:15:27,41.5826,2.0457,1000,-24
13:15:28,41.5826,2.0467,1000,-23
13:15:29,41.5826,2.0477,1000,-22
13:15:30,41.5826,2.0487,1000,-21
13:15:31,41.5826,2.0497,1000,-20
13:15:32,41.5826,2.0507,1000,-19
13:15:33,41.5826,2.0517,1000,-18
13:15:34,41.5826,2.0527,1000,-17
13:15:35,41.5826,2.0537,1000,-16
13:15:36,41.5826,2.0547,1000,-15
